Bitcoin;BTC;https://https://coinmarketcap.com/currencies/bitcoin/;8240.28170198
;;;
Ethereum;ETH;https://https://coinmarketcap.com/currencies/ethereum/;250.893025154
;;;
XRP;XRP;https://https://coinmarketcap.com/currencies/ripple/;0.417205651037
;;;
Bitcoin Cash;BCH;https://https://coinmarketcap.com/currencies/bitcoin-cash/;419.959965529
;;;
EOS;EOS;https://https://coinmarketcap.com/currencies/eos/;7.30797028739
;;;
Litecoin;LTC;https://https://coinmarketcap.com/currencies/litecoin/;106.344947684
;;;
Binance Coin;BNB;https://https://coinmarketcap.com/currencies/binance-coin/;31.9362183366
;;;
Bitcoin SV;BSV;https://https://coinmarketcap.com/currencies/bitcoin-sv/;180.846561168
;;;
Tether;USDT;https://https://coinmarketcap.com/currencies/tether/;0.998215984339
;;;
Stellar;XLM;https://https://coinmarketcap.com/currencies/stellar/;0.126910757494
;;;
Cardano;ADA;https://https://coinmarketcap.com/currencies/cardano/;0.0830464116246
;;;
TRON;TRX;https://https://coinmarketcap.com/currencies/tron/;0.0310198996058
;;;
Monero;XMR;https://https://coinmarketcap.com/currencies/monero/;90.2293835688
;;;
Dash;DASH;https://https://coinmarketcap.com/currencies/dash/;159.894698613
;;;
IOTA;MIOTA;https://https://coinmarketcap.com/currencies/iota/;0.467506503632
;;;
Cosmos;ATOM;https://https://coinmarketcap.com/currencies/cosmos/;5.37737634226
;;;
Tezos;XTZ;https://https://coinmarketcap.com/currencies/tezos/;1.44150514693
;;;
Ethereum Classic;ETC;https://https://coinmarketcap.com/currencies/ethereum-classic/;7.98384744734
;;;
NEO;NEO;https://https://coinmarketcap.com/currencies/neo/;12.4801692141
;;;
NEM;XEM;https://https://coinmarketcap.com/currencies/nem/;0.0865967209562
;;;
Maker;MKR;https://https://coinmarketcap.com/currencies/maker/;724.043002574
;;;
Ontology;ONT;https://https://coinmarketcap.com/currencies/ontology/;1.41739263652
;;;
Zcash;ZEC;https://https://coinmarketcap.com/currencies/zcash/;83.6677231764
;;;
Bitcoin Gold;BTG;https://https://coinmarketcap.com/currencies/bitcoin-gold/;27.2363397001
;;;
Crypto.com Chain;CRO;https://https://coinmarketcap.com/currencies/crypto-com-chain/;0.0660272055002
;;;
Basic Attenti...;BAT;https://https://coinmarketcap.com/currencies/basic-attention-token/;0.32850463574
;;;
VeChain;VET;https://https://coinmarketcap.com/currencies/vechain/;0.0073094709181
;;;
